timestamp,occupancy,charging_load_kW,energy_delivered_kWh,hour,day,month,dayofweek,is_weekend,occ_lag_1,occ_lag_2,occ_lag_24,vol_lag_1,vol_lag_2,vol_lag_24,occ_roll_mean_3,vol_roll_mean_3,pred_occupancy,pred_volume,pred_utilization_rate,congestion_probability,dynamic_price,dynamic_volume,dynamic_occupancy
2018-11-01 14:00:00,13,34.26461774150995,34.26461774150995,14,1,11,3,0,7.0,5.0,18.0,9.490485579397454,1.2860280618008593,28.844873726578328,5.666666666666667,4.020847234332977,11.722157390487732,27.57282234415285,0.20932423911585235,0.002713611406914429,13.48873731859754,35.12766504293103,13.327440247637199
2018-11-01 15:00:00,28,57.92555662999574,57.92555662999574,15,1,11,3,0,13.0,7.0,37.0,34.26461774150995,9.490485579397454,76.3401563647762,8.333333333333334,15.013710460902674,30.741476582171273,77.35684875681656,0.5489549389673442,0.07512879307299179,15.0,57.92555662999574,28.0
2018-11-01 16:00:00,35,67.98760930997213,67.98760930997213,16,1,11,3,0,28.0,13.0,48.0,57.92555662999574,34.26461774150995,90.78842442838857,16.0,33.89355331696763,43.051050611031,87.36649883373329,0.7687687609112679,0.4225504110652976,15.0,67.98760930997213,35.0
2018-11-01 17:00:00,39,71.04438727728892,71.04438727728892,17,1,11,3,0,35.0,28.0,47.0,67.98760930997213,57.92555662999574,70.17172503590785,25.333333333333332,53.39259456049253,41.91710834963829,73.74472680705959,0.7485197919578266,0.3740684822162671,15.0,71.04438727728892,39.0
2018-11-01 18:00:00,40,50.44560614695192,50.44560614695192,18,1,11,3,0,39.0,35.0,47.0,71.04438727728892,67.98760930997213,46.98988516604219,34.0,65.65251773908551,40.34155272894896,65.0038408376599,0.7203848701598029,0.31084939482734436,15.0,50.44560614695192,40.0
2018-11-01 19:00:00,41,53.69130989151621,53.69130989151621,19,1,11,3,0,40.0,39.0,48.0,50.44560614695192,71.04438727728892,31.62213959414687,38.0,63.15920091140424,41.18511610442368,50.84937655863215,0.7354485018647086,0.3440009365553505,15.0,53.69130989151621,41.0
2018-11-01 20:00:00,42,44.7670009119668,44.7670009119668,20,1,11,3,0,41.0,40.0,49.0,53.69130989151621,50.44560614695192,35.16544579404242,40.0,58.39376777191893,41.60509195814732,51.153429956322036,0.7429480706812022,0.36111700929456186,15.0,44.7670009119668,42.0
2018-11-01 21:00:00,40,38.99414428706207,38.99414428706207,21,1,11,3,0,42.0,41.0,47.0,44.7670009119668,53.69130989151621,25.37248454581004,41.0,49.634638983478226,41.90744563688177,42.19822105456601,0.7483472435157459,0.3736645630012249,15.0,38.99414428706207,40.0
2018-11-01 22:00:00,39,33.284719781799204,33.284719781799204,22,1,11,3,0,40.0,42.0,46.0,38.99414428706207,44.7670009119668,38.213879278351946,41.0,45.817485030181615,40.77284502942066,40.637226568895805,0.7280865183825117,0.3275835307529741,15.0,33.284719781799204,39.0
2018-11-01 23:00:00,35,34.89139933030852,34.89139933030852,23,1,11,3,0,39.0,40.0,44.0,33.284719781799204,38.99414428706207,43.6718923610777,40.333333333333336,39.01528832694261,39.48409244552298,43.31160290399422,0.7050730793843389,0.27903181426831536,15.0,34.89139933030852,35.0
2018-11-02 00:00:00,28,34.83633532506279,34.83633532506279,0,2,11,4,0,35.0,39.0,31.0,34.89139933030852,33.284719781799204,41.20755253008361,38.0,35.72342113305652,30.38424265186137,38.481307397720805,0.5425757616403816,0.0708146467578261,15.0,34.83633532506279,28.0
2018-11-02 01:00:00,19,17.18885663712781,17.18885663712781,1,2,11,4,0,28.0,35.0,25.0,34.83633532506279,34.89139933030852,47.63148626284243,34.0,34.337484812390095,22.65594225870506,46.59016570286293,0.40457039747687606,0.018811503355447387,15.0,17.18885663712781,19.0
2018-11-02 02:00:00,13,13.465830375303543,13.465830375303543,2,2,11,4,0,19.0,28.0,24.0,17.18885663712781,34.83633532506279,53.138805752768725,27.333333333333332,28.972197097499627,17.269324249087422,27.663865610661947,0.3083807901622754,0.007273684080605411,15.0,13.465830375303543,13.0
2018-11-02 03:00:00,11,18.401320336862206,18.401320336862206,3,2,11,4,0,13.0,19.0,21.0,13.465830375303543,17.18885663712781,57.47391006884877,20.0,21.830340779164633,11.072351221595994,19.684906636173178,0.1977205575284999,0.002417033339038006,13.295342625474998,18.924119443749355,11.312520518662916
2018-11-02 04:00:00,9,18.464500563819893,18.464500563819893,4,2,11,4,0,11.0,13.0,18.0,18.401320336862206,13.465830375303543,39.245776909737,14.333333333333334,16.352002449764438,10.041534636306224,22.98013999127859,0.1793131185054683,0.0020114843938048178,12.988551975091138,19.083506950320295,9.30171720373633
